scope,direction,metric,value,status,details,checkpoint_sha256,data_manifest_sha256
training,both,session_wall_seconds,9274.95008358499,computed,"{""definition"": ""Final invocation wall time; not total across earlier resumed invocations""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,both,training_source_images_per_second,47.88582968782878,computed,"{""definition"": ""two source images per complete paired-domain G/D update; excludes data loading and evaluation""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,both,peak_gpu_memory_bytes,1571999744,computed,"{""definition"": ""CUDA peak allocated memory; not reserved memory""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,both,nan_events,0,computed,{},d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
model,G_photo_to_monet,parameter_count,11378179,computed,{},d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
model,G_monet_to_photo,parameter_count,11378179,computed,{},d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
model,D_photo,parameter_count,2764737,computed,{},d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
model,D_monet,parameter_count,2764737,computed,{},d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
model,both,parameter_count_total,28285832,computed,{},d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,gan_photo_to_monet,losses_mean,0.5912084168727636,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,gan_photo_to_monet,losses_final_update,0.8839796781539917,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,gan_monet_to_photo,losses_mean,0.4628221299676132,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,gan_monet_to_photo,losses_final_update,0.5643753409385681,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,cycle_photo_l1,losses_mean,0.11625069152224224,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,cycle_photo_l1,losses_final_update,0.07677249610424042,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,cycle_monet_l1,losses_mean,0.09085967856556029,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,cycle_monet_l1,losses_final_update,0.048675261437892914,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,identity_photo_l1,losses_mean,0.0988377091758666,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
